current_route,target_owner,target_shell,migration_phase,notes
404.html,platform_core,shared/static,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
about.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-account.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-accounting.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-analytics.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-app.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-assign.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-blocks.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-booking.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-bootstrap.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-catalog.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-close.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-content.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-conversions.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-creative-projects.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-customers.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-daip-design.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-daip-gate-c.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-daip-governance.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-daip-intake-dry-run.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-daip-media.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-daip-readiness.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-daip.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-docs.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-gallery.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-growth.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-incident-reports.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-integrations.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-inventory-manager.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-inventory-posting.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-jobsite.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-launch-readiness.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-leads.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-live.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-login.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-marketing.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-media-health.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-notifications.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-payments.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-payroll.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-photo-studio.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-production.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-progress.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-promos.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-quotes.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-recovery.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-roadmap-execution.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-runtime-health.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-sanity.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-security.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-seo-tasks.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-site-settings.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-social.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-staff.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-startup-guide.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-tax-review.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-test-centre.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-today.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-ui-health.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-upload.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-water-rules.html,admin,/app/admin/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin-workflow.html,operations,/app/operations/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
admin.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
blog.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
book.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
complete.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
consumables.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
contact.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
detailer-jobs.html,detailer,/app/detailer/,compatibility-route,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
faq.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
final-balance-payment.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
fleet-pricing.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
fleet.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
gallery.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
gear.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
gift-cards.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
gift-certificate-print.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
gifts.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
index.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
invoice.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
login.html,platform_core,shared/static,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
maintenance-plan.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
maintenance.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
my-account.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
order-confirmation.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
pricing.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
privacy.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
progress.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
quote-payment.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
quote-response.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
services.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
specials.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
terms.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
vehicle-size-review.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
videos.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
waiver.html,customer,/app/customer/,static-first-or-customer,Build 263 ownership inventory; current Build 265 behavior remains authoritative.
